RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Davis N Elem School,50.0,37.0,57.0,53.0,2021
1.50163E+14,Dawes Elem School,56.0,75.0,67.0,62.0,2021
1.50163E+14,De Diego Elem Community Academy,47.0,60.0,63.0,44.0,2021
1.50163E+14,Decatur Classical Elem School,79.0,93.0,92.0,78.0,2021
1.50163E+14,Deneen Elem School,83.0,76.0,72.0,83.0,2021
1.50163E+14,Depriest Elem School,49.0,57.0,54.0,43.0,2021
1.50163E+14,Dett Elem School,,55.0,53.0,,2021
1.50163E+14,Dever Elem School,53.0,59.0,72.0,58.0,2021
1.50163E+14,Devry Advantage Academy High Schl,57.0,70.0,80.0,97.0,2021
1.50163E+14,Dewey Elem Academy of Fine Arts,72.0,42.0,48.0,75.0,2021
1.50163E+14,Dirksen Elem School,,28.0,47.0,,2021
1.50163E+14,Disney Elem Magnet School,59.0,46.0,60.0,55.0,2021
1.50163E+14,Disney II Elem School,59.0,42.0,64.0,73.0,2021
1.50163E+14,Disney II Magnet HS,66.0,60.0,71.0,75.0,2021
1.50163E+14,Dixon Elem School,,83.0,86.0,,2021
1.50163E+14,Dore Elem School,52.0,53.0,75.0,68.0,2021
1.50163E+14,Douglass Academy High School,67.0,,,84.0,2021
1.50163E+14,Drake Elem School,,60.0,69.0,,2021
1.50163E+14,Drummond Elem School,46.0,55.0,84.0,79.0,2021
1.50163E+14,Dubois Elem School,57.0,54.0,47.0,53.0,2021
1.50163E+14,Dulles Elem School,53.0,62.0,58.0,57.0,2021
1.50163E+14,Dunbar Vocational Career Acad HS,82.0,78.0,74.0,73.0,2021
1.50163E+14,Dunne Technology Acad Elem Sch,99.0,93.0,93.0,97.0,2021
1.50163E+14,Durkin Park Elem School,61.0,54.0,73.0,63.0,2021
1.50163E+14,Dvorak Technology Acad Elem Sch,,55.0,49.0,,2021
1.50163E+14,Earhart Elem Opt for Knowl School,72.0,72.0,,57.0,2021
1.50163E+14,Earle Elem School,80.0,53.0,60.0,63.0,2021
1.50163E+14,Eberhart Elem School,,,,,2021
1.50163E+14,Ebinger Elem School,63.0,57.0,85.0,72.0,2021
1.50163E+14,Edgebrook Elem School,66.0,52.0,87.0,73.0,2021
1.50163E+14,Edison Elem Regional Gifted Cntr,54.0,48.0,92.0,52.0,2021
1.50163E+14,Edison Park Elem School,54.0,43.0,75.0,53.0,2021
1.50163E+14,Edwards Elem School,50.0,58.0,70.0,55.0,2021
1.50163E+14,Ellington Elem School,81.0,48.0,53.0,77.0,2021
1.50163E+14,Englewood STEM High School,,,,,2021
15016299025015,EPIC Academy High School,60.0,27.0,39.0,66.0,2021
1.50163E+14,Ericson Elem Scholastic Academy,70.0,45.0,64.0,65.0,2021
15016299025219,Erie Elem Charter School,49.0,50.0,57.0,68.0,2021
1.50163E+14,Esmond Elem School,,52.0,77.0,,2021
1.50163E+14,Everett Elem School,88.0,63.0,72.0,99.0,2021
1.50163E+14,Evergreen Academy Elem School,88.0,84.0,74.0,98.0,2021
1.50163E+14,Evers Elem School,70.0,74.0,74.0,55.0,2021
1.50163E+14,Fairfield Elem Academy,38.0,34.0,38.0,44.0,2021
1.50163E+14,Falconer Elem School,56.0,60.0,66.0,76.0,2021
1.50163E+14,Faraday Elem School,92.0,51.0,50.0,83.0,2021
1.50163E+14,Farnsworth Elem School,44.0,58.0,68.0,51.0,2021
1.50163E+14,Farragut Career Academy HS,,54.0,45.0,,2021
1.50163E+14,Fenger Academy High School,63.0,61.0,48.0,69.0,2021
1.50163E+14,Fernwood Elem School,,,,,2021
1.50163E+14,Field Elem School,78.0,70.0,72.0,89.0,2021
1.50163E+14,Finkl Elem School,50.0,53.0,64.0,50.0,2021
1.50163E+14,Fiske Elem School,54.0,,,40.0,2021
1.50163E+14,Foreman High School,57.0,58.0,57.0,57.0,2021
