RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252368,610092,Network 3,Nash Elem School,14.2%,55.0%,49.5%,46.3%,50.2%,,,,,,,
15016299025037C,400117,Charter,Noble St Chtr-Hansberry College Prep - Silver,14.2%,65.0%,61.2%,49.5%,50.6%,,,22.6%,,,,
150162990252617,610003,Network 11,Cuffe Math-Sci Tech Elem Academy,14.4%,24.3%,41.8%,29.6%,31.6%,,,39.9%,,,,
150162990252823,609961,Network 12,Ninos Heroes Elem Academic Ctr,14.6%,42.4%,54.6%,43.8%,52.8%,,,29.4%,,,,
150162990252405,610130,Network 12,Pirie Elem Fine Arts & Academic C,14.6%,42.6%,53.9%,44.5%,42.4%,,,34.8%,,,,
15016299025050C,400064,Charter,Perspectives Chtr - Joslin Campus,14.6%,66.4%,74.4%,43.0%,57.5%,,,,,,,
150162990250039,609751,Network 17,King College Prep High School,14.7%,22.6%,39.9%,29.4%,34.8%,,,,,,,
150162990252620,610368,Network 13,Hughes L Elem School,14.9%,46.2%,62.6%,48.9%,43.3%,,,,,,,
150162990252437,610268,Network 12,Ashe Elem School,15.1%,46.8%,66.6%,52.6%,64.3%,,,,,,,
150162990250788,609726,ISP,Brooks College Prep Academy HS,15.3%,28.4%,49.7%,47.3%,48.7%,,,,,,,
150162990250828,610390,ISP,Rickover Naval Academy High Schl,15.3%,44.4%,49.6%,49.5%,44.7%,,,,,,,
15016299025051C,400061,Charter,Perspectives Chtr - Leadership Acad,15.3%,49.0%,66.6%,57.8%,61.5%,,,,,,,
150162990252825,610313,Network 5,De Diego Elem Community Academy,15.6%,32.1%,65.8%,58.8%,64.1%,,,,,,,
150162990252069,609791,Network 11,Bass Elem School,15.6%,45.6%,62.2%,48.1%,45.0%,,,,,,,
150162990250837,610384,Network 15,Infinity Math  Science & Tech HS,16.0%,38.9%,40.6%,40.2%,54.8%,,,,,,,
15016299025032C,400052,Charter,Noble St Chtr-Comer College Prep,16.0%,54.9%,64.8%,57.0%,52.7%,,,,,,,
150162990252636,609975,Network 3,Hay Elem Community Academy,16.2%,46.6%,55.0%,36.9%,37.8%,,,,,,,
150162990252147,609873,Network 5,Crown Elem Comm Acd Fine Arts Ctr,16.4%,23.5%,42.5%,24.2%,38.6%,,,,,,,
150162990252506,610223,Network 11,Wentworth Elem School,16.4%,46.6%,55.8%,48.0%,46.2%,,,,,,,
150162990252242,609966,Network 7,Hammond Elem School,16.5%,30.9%,48.9%,41.8%,50.2%,,,,,,,
150162990252230,609954,Network 5,Gregory Math & Sci Elem Academy,16.6%,32.3%,40.6%,26.0%,29.3%,,,,,,,
150162990252180,609897,Network 11,Earle Elem School,16.6%,32.7%,61.8%,29.1%,28.8%,,,,,,,
15016299025034C,400097,Charter,Noble St Chtr-Chicago Bulls Prep,16.6%,59.0%,60.5%,51.8%,44.0%,,,,,,,
150162990250047,609738,Network 14,Lincoln Park High School,16.8%,29.6%,52.1%,51.7%,59.3%,,,,,,,
150162990252088,610238,Network 11,Bond Elem School,16.9%,45.3%,56.4%,45.7%,34.5%,,,,,,,
150162990252484,610200,Network 12,Thorp  J N Elem School,17.1%,50.5%,60.3%,44.7%,51.4%,,,,,,,
150162990252724,610256,Network 9,Robinson Elem School,17.2%,35.7%,45.7%,47.6%,52.2%,,,,,,,
150162990250043,609734,Network 14,Taft High School,17.2%,35.8%,50.6%,59.6%,60.0%,,,,,,,
150162990252423,610146,Network 12,Revere Elem School,17.4%,44.4%,62.6%,47.5%,50.4%,,,,,,,
150162990250849,610524,Network 15,Alcott College Prep,17.4%,55.0%,54.5%,49.2%,56.2%,,,,,,,
15016299025031C,400053,Charter,Noble St Chtr-Golder College Prep,17.6%,76.3%,59.9%,46.9%,43.7%,,,,,,,
15016299025029C,400055,Charter,Noble St Chtr Rauner College Prep,17.8%,58.3%,66.2%,47.0%,39.5%,,,,,,,
15016299025053C,400066,Charter,Perspectives Chtr -  IIT Campus,17.8%,67.3%,74.3%,71.2%,67.0%,,,,,,,
150162990252093,610242,Network 2,Brennemann Elem School,17.9%,24.0%,37.6%,39.0%,43.5%,,,,,,,
150162990252113,609833,ISP,Daisy Bates Academy of Social Justice,18.2%,43.1%,55.1%,36.8%,44.3%,,,,,,,
150162990250001,609695,Network 14,Amundsen High School,18.6%,43.1%,52.1%,53.3%,49.7%,,,,,,,
150162990250053,610564,Network 14,Disney II Magnet HS,19.0%,34.9%,54.5%,56.9%,57.5%,,,,,,,
150162990250830,610392,Network 15,World Language High School,19.1%,43.6%,47.2%,51.7%,53.4%,,,,,,,
150162990252103,609819,Network 9,Burke Elem School,19.1%,47.8%,66.8%,59.6%,62.9%,,,,,,,
150162990252236,609939,Network 12,Gillespie Elem School,19.3%,23.0%,50.9%,49.4%,42.7%,,,,,,,
150162990250795,609754,Network 17,Chicago Military Academy HS,19.4%,44.8%,60.6%,59.6%,66.2%,,,,,,,
150162990252212,609933,Network 2,Gale Elem Community Academy,19.7%,30.8%,48.1%,53.2%,62.5%,,,,,,,
150162990252714,610305,Network 3,Leland Elem School,19.7%,38.2%,63.7%,56.5%,36.4%,,,,,,,
150162990252326,610048,Network 4,Manierre Elem School,19.7%,54.7%,76.0%,70.1%,74.2%,,,,,,,
150162990250037,609730,Network 14,Senn High School,20.1%,33.6%,55.3%,65.5%,67.4%,,,,,,,
150162990250855,610529,Network 15,Ogden Int High School,20.1%,42.0%,58.3%,55.5%,62.8%,,,,,,,
15016299025086C,400149,Charter,Acero Chtr Sch Network Victoria Soto Campus,20.3%,39.5%,62.3%,59.6%,56.5%,,,,,,,
150162990252372,609845,Network 13,Carver Primary School,20.6%,62.0%,78.6%,43.7%,39.8%,,,,,,,
15016299025052C,400062,Charter,Perspectives Chtr - High School of Technology,20.8%,58.4%,69.8%,62.8%,69.5%,,,,,,,
150162990250024,609718,Network 16,Kennedy High School,21.1%,45.8%,66.5%,62.6%,60.6%,,,,,,,
15016299025085C,400085,Charter,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,21.2%,52.2%,62.6%,47.7%,49.0%,,,,,,,
15016299025039C,400156,Charter,Noble St Chtr-Butler College Prep - Crimson,21.4%,70.2%,73.8%,51.8%,52.8%,,,,,,,
150162990250850,400091,Contract,Chicago Technology Academy HS,21.6%,48.8%,57.2%,48.3%,58.4%,,,,,,,
15016299025040C,400157,Charter,Noble St Chtr-Baker Campus,21.6%,63.1%,76.9%,61.9%,59.2%,,,,,,,
15016299025236C,400161,Charter,Chicago Collegiate Charter School,21.7%,36.8%,75.8%,69.2%,71.6%,,,,,,,
150162990252462,610183,Network 3,Spencer Technology Acad Elem Sch,22.4%,51.9%,78.3%,60.3%,60.2%,,,,,,,
150162990250860,610547,Network 17,South Shore Intl Col Prep HS,23.3%,61.3%,73.8%,63.9%,73.3%,,,,,,,
150162990250030,609724,Network 14,Mather High School,23.9%,48.3%,60.5%,54.4%,53.7%,,,,,,,
15016299025015C,400094,Charter,EPIC Academy High School,24.4%,44.9%,62.3%,66.9%,64.9%,,,,,,,
150162990250825,609691,Network 15,North-Grand High School,24.9%,50.7%,66.0%,60.3%,68.9%,,,,,,,
150162990250863,610587,Network 17,Walter Henri Dyett High School for the Arts,24.9%,57.9%,59.9%,70.2%,74.7%,,,,,,,
150162990250035,609728,Network 14,Roosevelt High School,25.2%,48.2%,66.6%,62.4%,67.4%,,,,,,,
150162990250022,609715,Network 16,Thomas Kelly College Preparatory,26.0%,54.6%,63.9%,62.5%,66.7%,,,,,,,
15016299025030C,400056,Charter,Noble St Chtr-Rowe-Clark MS Acad,26.4%,82.0%,76.0%,66.5%,64.2%,,,,,,,
150162990250020,609741,Network 16,Hubbard High School,26.7%,35.2%,67.3%,66.8%,77.9%,,,,,,,
15016299025084C,400058,Charter,North Lawndale Prep Chtr - Christiana,26.8%,75.7%,74.6%,71.4%,71.7%,,,,,,,
15016299025012C,400104,Charter,IHSCA Charter High School,26.9%,2.6%,63.6%,60.2%,57.9%,,,,,,,
150162990250048,609739,Network 17,Washington G High School,27.0%,55.0%,68.6%,64.9%,68.3%,,,,,,,
150162990250861,610558,Network 16,Goode STEM Academy HS,27.3%,47.1%,53.8%,48.8%,48.7%,,,,,,,
150162990250617,609756,Network 15,Curie Metropolitan High School,27.6%,46.0%,66.0%,68.8%,70.4%,,,,,,,
15016299025038C,400118,Charter,Noble St Chtr-DRW Trading College Prep,27.7%,86.2%,83.6%,79.3%,68.9%,,,,,,,
150162990250052,610561,Network 15,Crane Medical Prep HS,28.2%,68.1%,83.4%,82.0%,85.9%,,,,,,,
150162990250026,609719,Network 14,Lake View High School,28.3%,50.9%,65.4%,62.9%,62.9%,,,,,,,
15016299025010C,400086,Charter,Urban Prep Chtr Acad Englewood HS,29.2%,59.5%,35.1%,27.3%,26.3%,,,,,,,
15016299025079C,400172,Charter,Aspira Charter - Business and Finance HS,30.1%,54.8%,65.9%,61.8%,63.6%,,,,,,,
150162990250827,610244,ISP,Clark Acad Prep Magnet High Schl,30.4%,67.9%,90.9%,86.6%,82.8%,,,,,,,
150162990250534,609679,Network 15,Prosser Career Academy HS,31.6%,46.1%,62.3%,63.7%,66.4%,,,,,,,
15016299025036C,400106,Charter,Noble St Chtr-Johnson College Prep,31.7%,79.1%,78.4%,63.3%,59.0%,,,,,,,
150162990250835,610383,Network 15,School of Social Justice HS,31.8%,58.0%,76.7%,64.4%,78.4%,,,,,,,
150162990250826,610334,Network 15,Raby High School,32.4%,89.1%,94.0%,76.7%,78.5%,,,,,,,
15016299025083C,400032,Charter,CICS - Ralph Ellison Campus,34.8%,54.1%,70.8%,77.7%,73.7%,,,,,,,
150162990250537,609692,Network 17,Simeon Career Academy High School,35.0%,54.0%,81.7%,64.5%,71.4%,,,,,,,
150162990250042,609733,Network 14,Sullivan High School,35.0%,60.2%,61.6%,67.9%,77.0%,,,,,,,
150162990250031,609725,Network 16,Morgan Park High School,35.1%,51.8%,82.1%,69.8%,71.5%,,,,,,,
150162990250036,609729,Network 14,Schurz High School,35.1%,57.8%,74.5%,69.4%,73.5%,,,,,,,
150162990250829,610394,Network 14,Uplift Community High School,35.2%,75.0%,81.8%,66.7%,74.1%,,,,,,,
150162990250867,610592,Network 16,Englewood STEM High School,35.5%,70.2%,85.1%,86.3%,87.1%,,,,,,,
150162990250836,610385,Network 15,Multicultural Arts High School,35.9%,0.9%,71.4%,69.3%,73.5%,,,,,,,
15016299025046C,400059,Charter,North Lawndale Prep Chtr-Collins,35.9%,77.0%,89.5%,86.8%,89.3%,,,,,,,
15016299025067C,400139,Options,YCCS-Sullivan House Alt HS,36.7%,30.3%,39.2%,49.0%,49.5%,,,,,,,
150162990250041,609732,Network 14,Steinmetz College Prep HS,36.7%,57.4%,75.5%,68.9%,73.2%,,,,,,,
150162990250526,609674,Network 17,Chicago Vocational Career Acad HS,36.7%,63.4%,70.4%,58.8%,44.9%,,,,,,,
150162990250023,609716,Network 14,Kelvyn Park High School,37.1%,13.4%,73.0%,74.5%,73.6%,,,,,,,
150162990250543,609761,Network 17,Corliss High School,37.3%,62.5%,75.0%,67.3%,71.9%,,,,,,,
150162990250021,609713,Network 17,Hyde Park Academy High School,37.5%,62.3%,70.5%,78.0%,86.0%,,,,,,,
150162990250003,609698,Network 16,Bogan High School,38.5%,67.2%,77.1%,68.0%,65.6%,,,,,,,
150162990250856,610380,Network 17,Williams Medical Prep High Sch,38.6%,60.2%,71.4%,59.5%,54.3%,,,,,,,
150162990250049,609740,Network 15,Wells Community Academy HS,39.6%,54.1%,75.4%,76.2%,80.5%,,,,,,,
15016299025019C,400119,Charter,Legal Prep Academy Charter HS,39.8%,56.1%,69.5%,79.3%,73.1%,,,,,,,
150162990250841,610499,Network 15,Collins Academy STEAM High School,39.9%,81.4%,80.2%,77.8%,75.2%,,,,,,,
150162990250767,609764,Network 15,Juarez Community Academy HS,40.7%,61.1%,66.4%,74.0%,73.7%,,,,,,,
150162990250824,610323,Network 17,Bowen High School,40.7%,65.4%,69.9%,76.0%,74.1%,,,,,,,
150162990250016,609710,Network 17,Harlan Community Academy HS,41.5%,68.1%,84.4%,83.6%,80.4%,,,,,,,
150162990250834,610381,Network 17,Bronzeville Scholastic HS,42.1%,52.1%,51.9%,57.8%,63.9%,,,,,,,
150162990250545,609759,Network 15,Clemente Community Academy HS,42.7%,70.6%,85.7%,79.9%,77.0%,,,,,,,
150162990250015,609709,Network 16,Gage Park High School,42.8%,70.1%,70.7%,62.1%,82.2%,,,,,,,
150162990250531,609676,Network 17,Dunbar Vocational Career Acad HS,45.0%,78.4%,85.3%,91.9%,84.7%,,,,,,,
150162990250012,609705,Network 17,Fenger Academy High School,45.9%,78.0%,84.2%,77.7%,77.7%,,,,,,,
150162990250536,609682,Network 16,Richards Career Academy HS,46.1%,77.1%,78.4%,78.8%,72.8%,,,,,,,
150162990250818,610357,Network 16,Spry Community Links High School,46.2%,75.0%,79.8%,78.5%,77.4%,,,,,,,
150162990250011,609704,Network 16,Farragut Career Academy HS,46.3%,65.3%,80.3%,73.5%,84.6%,,,,,,,
150162990250013,609708,Network 14,Foreman High School,47.3%,60.3%,71.9%,69.1%,68.9%,,,,,,,
150162990250044,609735,Network 16,Tilden Career Communty Academy HS,48.8%,79.6%,82.1%,76.8%,79.3%,,,,,,,
150162990250763,609762,Network 16,Julian High School,49.7%,71.2%,80.1%,81.8%,84.2%,,,,,,,
150162990250862,400147,Options,Chicago Excel Academy HS,50.1%,51.9%,58.0%,57.8%,62.4%,,,,,,,
150162990250616,609722,Network 15,Manley Career Academy High School,51.4%,72.9%,81.9%,69.6%,77.4%,,,,,,,
150162990250019,609712,Network 17,Hirsch Metropolitan High School,51.7%,71.8%,74.7%,74.0%,81.0%,,,,,,,
150162990250847,610389,Network 15,Orr Academy High School,52.8%,69.9%,74.3%,71.6%,75.2%,,,,,,,
150162990250034,609727,Network 17,Phillips Academy High School,52.9%,80.2%,87.5%,89.7%,89.5%,,,,,,,
150162990250029,609723,Network 15,Marshall Metropolitan High School,55.9%,81.1%,86.8%,76.7%,82.9%,,,,,,,
150162990250831,610245,Network 15,Douglass Academy High School,57.1%,92.0%,77.4%,64.3%,62.2%,,,,,,,
15016299025066C,400136,Options,YCCS-Olive Harvey Mid College HS,59.8%,82.1%,91.0%,86.1%,90.8%,,,,,,,
15016299025071C,400144,Options,YCCS West,62.9%,76.8%,91.0%,82.9%,84.5%,,,,,,,
15016299025056C,400125,Options,YCCS-ASPIRA Pantoja Alt HS,64.1%,77.9%,87.3%,90.4%,91.7%,,,,,,,
150162990250844,610518,Network 15,Austin College and Career Academy High School,64.5%,80.6%,83.8%,83.6%,84.9%,,,,,,,
15016299025055C,400124,Options,YCCS- McKinley-Lakeside Leadership Academy,67.9%,61.5%,66.5%,73.6%,87.7%,,,,,,,
15016299025073C,400150,Options,YCCS Chtr - Chatham,70.5%,73.0%,91.4%,78.8%,74.5%,,,,,,,
15016299025061C,400130,Options,YCCS-Community Youth Dev Inst HS,71.1%,81.7%,97.9%,95.1%,93.4%,,,,,,,
15016299025054C,400123,Options,YCCS-Scholastic Achievement HS,71.3%,77.3%,95.3%,78.2%,83.3%,,,,,,,
15016299025065C,400135,Options,YCCS-Latino Youth Alternative HS,73.4%,84.6%,94.7%,91.4%,91.5%,,,,,,,
15016299025072C,400145,Options,YCCS-Youth Connection Leadership Academy,73.4%,94.5%,94.9%,63.5%,80.5%,,,,,,,
15016299025057C,400126,Options,YCCS-Association House,77.5%,76.5%,98.4%,90.4%,99.4%,,,,,,,
15016299025068C,400141,Options,YCCS-Truman Middle College HS,78.0%,69.9%,94.8%,92.2%,91.9%,,,,,,,
15016299025062C,400131,Options,YCCS-Albizu Campos Puerto Rican HS,78.5%,67.9%,95.5%,94.7%,90.8%,,,,,,,
15016299025020C,400148,,IJLA Charter High School,78.5%,80.8%,93.5%,88.9%,89.5%,,,,,,,
15016299025070C,400143,Options,YCCS-West Town Academy Alt HS,81.4%,64.6%,94.9%,90.0%,90.2%,,,,,,,
15016299025060C,400129,Options,YCCS-Progressive Leadership Academy,81.6%,55.3%,79.2%,80.6%,83.9%,,,,,,,
15016299025059C,400128,Options,YCCS-CCA Academy HS,84.4%,94.8%,90.5%,93.7%,92.6%,,,,,,,
15016299025063C,400133,Options,YCCS-Innovations of Arts Integr HS,84.9%,84.4%,86.9%,68.7%,93.5%,,,,,,,
150162990253760,610083,Network 1,Beard Elem School,,,,,,,,,,,,
150162990253787,610504,ISP,Thomas Early Childhood Center,,,,,,,,,,,,
150162990253762,610163,Network 1,Stock Early Childhood Center,,,,,,,,,,,,
150162990253761,610087,Network 10,Blair Early Childhood Center,,,,,,,,,,,,
150162990253781,609871,Network 10,Vick Early Childhood & Family Ctr,,,,,,,,,,,,
150162990253735,610308,Network 6,Rudolph Elem Learning Center,,,,,,,,,,,,
