RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252491,610207,Network 10,Vanderpoel Elem Magnet School,3.2%,10.0%,26.6%,16.5%,17.5%,,,,,,,
150162990252148,609875,Network 4,Darwin Elem School,3.2%,13.5%,26.0%,24.2%,29.3%,,,,,,,
150162990252510,610229,Network 6,Pritzker Elem School,3.2%,13.8%,18.7%,16.0%,18.2%,,,,,,,
150162990252284,610010,Network 4,Jahn Elem School,3.2%,15.8%,32.9%,35.8%,41.2%,,,,,,,
15016299025228C,400021,Charter,Catalyst Charter-Circle Rock ES,3.2%,16.8%,39.8%,28.5%,23.7%,,,,,,,
150162990252918,610199,Network 13,Colemon J Elem Academy,3.2%,17.2%,27.0%,28.3%,25.8%,,,,,,,
150162990252478,610197,Network 6,Talcott Elem School,3.3%,6.0%,25.3%,23.0%,33.5%,,,,,,,
150162990252743,610316,Network 12,Earhart Elem Opt for Knowl School,3.3%,9.6%,19.9%,19.4%,20.0%,,,,,,,
150162990252404,610129,Network 7,Pickard Elem School,3.3%,11.8%,29.3%,21.8%,27.9%,,,,,,,
150162990252503,610219,Network 13,Washington  G Elem School,3.3%,13.7%,41.0%,30.6%,29.1%,,,,,,,
15016299025283C,400046,Charter,LEARN Chtr - Butler,3.3%,17.9%,21.1%,20.4%,12.1%,,,,,,,
150162990252177,610188,Network 13,Dunne Technology Acad Elem Sch,3.4%,10.3%,32.9%,19.1%,18.6%,,,,,,,
150162990252951,400068,Contract,Plato Learning Acad  Elem School,3.4%,36.7%,35.7%,32.1%,44.6%,,,,,,,
150162990252214,609937,Network 1,Garvy  J Elem School,3.5%,6.6%,19.9%,27.1%,22.7%,,,,,,,
150162990252945,610503,ISP,Frazier Perspectives Magnet ES,3.5%,14.5%,35.1%,31.4%,41.0%,,,,,,,
150162990252294,610019,Network 11,Kershaw Elem School,3.5%,20.7%,31.0%,25.6%,23.9%,,,,,,,
15016299025278C,400031,Charter,CICS - Wrightwood,3.5%,26.4%,48.0%,30.1%,32.1%,,,,,,,
150162990252922,610287,Network 10,Ashburn Community Elem School,3.6%,10.0%,39.9%,28.3%,33.2%,,,,,,,
150162990252504,610220,Network 2,Waters Elem School,3.6%,10.5%,18.2%,19.6%,16.0%,,,,,,,
150162990252476,610195,Network 10,Sutherland Elem School,3.6%,11.3%,22.3%,18.5%,19.0%,,,,,,,
150162990252150,609879,Network 10,Dawes Elem School,3.6%,16.9%,36.7%,35.5%,37.4%,,,,,,,
15016299025282C,400044,Charter,KIPP Chicago Charters - Ascend Academy,3.6%,28.4%,41.0%,38.3%,35.3%,,,,,,,
15016299025285C,400080,Charter,Acero Chtr Sch Network - PFC Omar E Torres Elem Sch,3.7%,11.6%,43.7%,37.8%,33.5%,,,,,,,
150162990252048,610032,Network 11,Green  W Elem School,3.7%,15.1%,28.5%,29.9%,24.7%,,,,,,,
150162990252299,610026,ISP,Kinzie Elem School,3.8%,8.7%,24.9%,22.3%,22.3%,,,,,,,
150162990252102,609818,Network 3,Burbank Elem School,3.8%,12.8%,37.3%,35.7%,37.5%,,,,,,,
15016299025235C,400159,Charter,Christopher House Chrt ES,3.8%,18.1%,34.0%,26.5%,34.4%,,,,,,,
150162990252943,610396,Network 10,Tarkington Elem School,3.8%,18.6%,31.8%,31.4%,31.6%,,,,,,,
150162990252098,609813,Network 12,Brownell Elem School,3.8%,29.3%,58.7%,37.1%,38.0%,,,,,,,
150162990252468,610191,Network 2,Stone Elem Scholastic Academy,3.9%,4.8%,17.0%,22.3%,21.2%,,,,,,,
150162990252353,610073,ISP,Mitchell Elem School,3.9%,6.7%,23.3%,17.9%,19.5%,,,,,,,
150162990252370,610094,Network 4,Nettelhorst Elem School,3.9%,7.7%,19.5%,21.1%,20.7%,,,,,,,
150162990252220,609942,Network 4,Goethe Elem School,3.9%,13.2%,29.5%,28.8%,29.7%,,,,,,,
150162990252924,610231,Network 6,National Teachers Elem Academy,3.9%,26.1%,32.5%,29.6%,26.5%,,,,,,,
150162990252512,610225,Network 13,Whistler Elem School,3.9%,26.8%,54.5%,31.0%,38.3%,,,,,,,
15016299025280C,400092,Charter,CICS - Bond Campus,3.9%,55.0%,70.2%,50.8%,57.7%,,,,,,,
